id,sku,primary_barcode,brand_name,generic_name,strength,form,form_custom,manufacturer,therapeutic_category,purchase_unit,base_unit,units_per_purchase,prescription_required,controlled_schedule,tax_code_value,reorder_level,reorder_quantity,reorder_unit,is_active,created_at,updated_at,deleted_at
156,TAG550500-TAB,08961101693411,Tagipmet 50mg/500mg,Sitagliptin + Metformin HCl,50mg/500mg,TABLET,,Highnoon Laboratories Ltd,,BOX,TABLET,20,f,NONE,EXEMPT,40,0,PURCHASE,t,2026-05-23 10:00:02.027014+00,2026-05-23 10:00:02.027014+00,
127,TESS-CAP,08964002141562,Teslosin SR 0.4mg Capsules,Tamsulosin Hydrochloride,,CAPSULE,,Briell Pharmaceuticals Pvt. Ltd,,BOX,CAPSULE,10,f,NONE,EXEMPT,20,0,PURCHASE,t,2026-05-23 06:04:22.363208+00,2026-05-23 06:04:22.363208+00,
37,TEXD-SYR,,Texcol DMD,Dextromethorphan Hydrobromide USP + Diphenhydramine Hydrochloride BP,,SYRUP,,Raazee Therapeutics (Pvt.) Ltd,,BOX,BOTTLE,1,f,NONE,EXEMPT,2,0,PURCHASE,t,2026-05-22 10:32:34.308249+00,2026-05-22 10:32:34.308249+00,
83,TOBE-EYE,08964001801351,Tobra Eye Drops,Tobramycin U.S.P. 0.3%,,EYE_DROPS,,The Schazoo Pharmaceutical Laboratories (Pvt.) Ltd.,,BOX,DROP,1,f,NONE,EXEMPT,2,0,PURCHASE,t,2026-05-22 12:28:59.707944+00,2026-05-22 12:28:59.707944+00,
271,TONP-TAB,08964001923046,Tonoflex-P,Tramadol HCl + Paracetamol,,TABLET,,SAMI Pharmaceuticals (Pvt.) Ltd,,BOX,TABLET,20,f,NONE,EXEMPT,20,0,PURCHASE,t,2026-05-31 10:11:11.586742+00,2026-05-31 10:11:11.586742+00,
330,TOR3-AMP,08964001518990,Toradol 30mg/ml Injection (IM/IV),Ketorolac Trometamine 30mg/ml Injection (IM/IV),,INJECTION_AMPOULE,,Martin Dow Marker Ltd,,BOX,INJECTION,5,f,NONE,EXEMPT,3,0,PURCHASE,t,2026-05-31 12:52:03.036709+00,2026-05-31 12:52:03.036709+00,
376,TORI-INJ,08964002778720,Toralac Injection 1ml,Ketorolac Tromethamine USP,,INJECTION,,Global Pharmaceuticals PVT Ltd,,BOX,INJECTION,10,f,NONE,EXEMPT,2,0,PURCHASE,t,2026-06-01 23:29:39.004525+00,2026-06-01 23:59:02.120685+00,
282,TORP37520-TAB,08961100276400,Tormax Plus,Naproxen 375mg + Esomeprazole 20mg,375mg + 20mg,TABLET,,Platinum Pharmaceuticals (Pvt.) Ltd,,BOX,TABLET,28,f,NONE,EXEMPT,20,0,PURCHASE,t,2026-05-31 10:46:06.514468+00,2026-05-31 10:46:06.514468+00,
378,TRA1tramal-TAB,08964001788034,Tramal 100mg/2ml,Tramadol HCI Injection,,INJECTION_AMPOULE,,The Searle Company Limited,,BOX,INJECTION,5,f,NONE,EXEMPT,3,0,PURCHASE,t,2026-06-01 23:35:23.953959+00,2026-06-01 23:35:23.953959+00,
137,TRA5500-CAP,08961100977567,Transamin 500mg Capsules,Tranexamic Acid,500mg,CAPSULE,,Axis Pharmaceuticals,,BOX,CAPSULE,20,f,NONE,EXEMPT,20,0,PURCHASE,t,2026-05-23 06:53:03.341724+00,2026-06-01 20:01:33.13477+00,
318,TRA5-AMP,08961100971916,Transamin 500mg Injection (IM/IV),Tranexamic Acid 500mg Injection (IM/IV),,INJECTION_AMPOULE,,Hilton Pharma (Pvt.) Ltd,,BOX,INJECTION,10,f,NONE,EXEMPT,5,0,PURCHASE,t,2026-05-31 12:32:54.379381+00,2026-05-31 12:32:54.379381+00,
308,TRA1-AMP,,Traphen 100mg/2ml Injection,Tramadol Hydrochloride 100mg/2ml Injection,,INJECTION_AMPOULE,,Swiss Pharmaceuticals PVT Ltd,,BOX,INJECTION,5,f,NONE,EXEMPT,2,0,PURCHASE,t,2026-05-31 11:58:48.652314+00,2026-05-31 11:58:48.652314+00,
158,TRIF10160-TAB,08961101690694,Triforge,Amlodipine + Valsartan + Hydrochlorothiazide,10mg/160mg/12.5mg,TABLET,,Highnoon Laboratories Ltd,,BOX,TABLET,28,f,NONE,EXEMPT,56,0,PURCHASE,t,2026-05-23 10:04:38.856104+00,2026-05-23 10:04:38.856104+00,
155,TRI110160-TAB,08961101690687,Triforge 10mg/160mg/25mg,Amlodipine + Valsartan + Hydrochlorothiazide,10mg/160mg/25mg,TABLET,,Highnoon Laboratories Ltd,,BOX,TABLET,28,f,NONE,EXEMPT,56,0,PURCHASE,t,2026-05-23 09:56:46.972511+00,2026-05-23 09:56:46.972511+00,
